window,start,end,cv8,cv_pair,cv_pred,cv_pair_pred,R2,ew_diff,rank,rank_total,amp_1,amp_2,amp_3,amp_4,amp_5,amp_6,amp_7,amp_8,amp_9,pair_19,pair_28,pair_37,pair_46
1901-1930,1901,1930,0.4013,0.0626,0.3858,0.0139,0.9243,1.7530,1,105,41.5900,10.7676,25.8307,20.5856,27.2380,36.9773,24.0777,41.7436,16.3881,25.2019,30.9760,1.7530,16.3917
1906-1935,1906,1935,0.3972,0.0633,0.3812,0.0138,0.9214,1.9656,1,105,41.7182,10.8821,26.1834,20.9997,27.5461,37.2935,24.2178,41.9704,16.7339,24.9843,31.0883,1.9656,16.2938
1911-1940,1911,1940,0.3954,0.0628,0.3799,0.0137,0.9230,2.1192,1,105,41.7705,10.9374,26.4766,21.1336,27.6695,37.5918,24.3574,42.0018,16.8294,24.9411,31.0644,2.1192,16.4582
1916-1945,1916,1945,0.3957,0.0622,0.3808,0.0137,0.9261,2.1212,1,105,41.9700,10.9529,26.7217,21.1974,28.0779,37.9745,24.6005,42.1174,16.8478,25.1222,31.1646,2.1212,16.7770
1921-1950,1921,1950,0.3990,0.0616,0.3840,0.0139,0.9263,2.0941,1,105,42.0514,10.9154,26.5518,21.0139,27.8262,37.7046,24.4577,42.1171,16.5996,25.4518,31.2017,2.0941,16.6907
1926-1955,1926,1955,0.3978,0.0619,0.3831,0.0138,0.9276,1.8843,1,105,41.9977,10.9490,26.4660,21.0506,27.8118,37.7762,24.5816,42.0104,16.6079,25.3898,31.0614,1.8843,16.7256
1931-1960,1931,1960,0.3961,0.0623,0.3812,0.0138,0.9259,1.8684,1,105,41.7987,10.9872,26.3457,21.1084,27.6995,37.6238,24.4773,41.8934,16.6116,25.1871,30.9063,1.8684,16.5155
1936-1965,1936,1965,0.3934,0.0606,0.3782,0.0136,0.9241,1.9908,1,105,41.4145,10.9638,26.3623,21.0905,27.5519,37.2898,24.3714,41.6876,16.6236,24.7910,30.7239,1.9908,16.1994
1941-1970,1941,1970,0.3922,0.0606,0.3770,0.0136,0.9244,2.0602,1,105,41.2698,10.9602,26.3905,21.1194,27.6572,37.2630,24.3302,41.5076,16.5918,24.6781,30.5474,2.0602,16.1436
1946-1975,1946,1975,0.3889,0.0617,0.3737,0.0135,0.9230,1.8844,1,105,40.8611,10.9963,26.0750,21.0751,27.4251,36.9752,24.1906,41.1539,16.6573,24.2039,30.1576,1.8844,15.9001
1951-1980,1951,1980,0.3851,0.0627,0.3695,0.0133,0.9207,1.6862,1,105,40.6800,11.0571,26.0409,21.3061,27.3552,37.1509,24.3547,41.2362,16.9563,23.7238,30.1791,1.6862,15.8448
1956-1985,1956,1985,0.3822,0.0619,0.3660,0.0132,0.9169,1.9732,1,105,40.4788,11.0138,26.1592,21.3616,27.1857,36.7493,24.1860,40.9889,17.0250,23.4538,29.9751,1.9732,15.3878
1961-1990,1961,1990,0.3837,0.0611,0.3675,0.0133,0.9173,2.0292,1,105,40.3195,10.9403,25.9977,21.0981,26.7991,36.3864,23.9685,40.7731,16.8516,23.4679,29.8329,2.0292,15.2883
1966-1995,1966,1995,0.3849,0.0622,0.3689,0.0133,0.9186,1.7707,1,105,40.3037,10.9313,25.6921,20.9638,26.7118,36.2639,23.9215,40.6023,16.7273,23.5765,29.6709,1.7707,15.3001
1971-2000,1971,2000,0.3867,0.0628,0.3705,0.0134,0.9182,1.5781,1,105,40.2376,10.8712,25.4131,20.8284,26.6178,36.0927,23.8349,40.5484,16.6273,23.6103,29.6772,1.5781,15.2644
1976-2005,1976,2005,0.3880,0.0644,0.3715,0.0134,0.9168,1.6625,1,105,40.4438,10.8171,25.4267,20.9030,26.5021,36.0855,23.7642,40.5168,16.5804,23.8633,29.6998,1.6625,15.1825
1981-2010,1981,2010,0.3878,0.0672,0.3717,0.0134,0.9189,1.8059,2,105,40.5409,10.7557,25.4935,20.8766,26.5822,36.2466,23.6877,40.1243,16.6042,23.9367,29.3686,1.8059,15.3700
1986-2015,1986,2015,0.3890,0.0678,0.3735,0.0135,0.9217,1.4680,2,105,40.6224,10.8268,25.3231,20.8584,26.6615,36.5298,23.8551,40.2676,16.5650,24.0575,29.4408,1.4680,15.6714
